"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","REAL","IDX2015","Q","1970-Q1",26.0358319927977,
"AUS","HOUSECOST","REAL","IDX2015","Q","1970-Q2",26.4070570251818,
"AUS","HOUSECOST","REAL","IDX2015","Q","1970-Q3",26.9309802822917,
"AUS","HOUSECOST","REAL","IDX2015","Q","1970-Q4",26.9796807323756,
"AUS","HOUSECOST","REAL","IDX2015","Q","1971-Q1",27.1766697732971,
"AUS","HOUSECOST","REAL","IDX2015","Q","1971-Q2",27.4720761583642,
"AUS","HOUSECOST","REAL","IDX2015","Q","1971-Q3",27.9587836220469,
"AUS","HOUSECOST","REAL","IDX2015","Q","1971-Q4",28.2480797174228,
"AUS","HOUSECOST","REAL","IDX2015","Q","1972-Q1",28.4618469649076,
"AUS","HOUSECOST","REAL","IDX2015","Q","1972-Q2",28.7660639340575,
"AUS","HOUSECOST","REAL","IDX2015","Q","1972-Q3",29.1327676996637,
"AUS","HOUSECOST","REAL","IDX2015","Q","1972-Q4",30.1023819678128,
"AUS","HOUSECOST","REAL","IDX2015","Q","1973-Q1",30.5428155275136,
"AUS","HOUSECOST","REAL","IDX2015","Q","1973-Q2",31.5063108677089,
"AUS","HOUSECOST","REAL","IDX2015","Q","1973-Q3",33.065365163767,
"AUS","HOUSECOST","REAL","IDX2015","Q","1973-Q4",33.9518698248753,
"AUS","HOUSECOST","REAL","IDX2015","Q","1974-Q1",35.3469066023444,
"AUS","HOUSECOST","REAL","IDX2015","Q","1974-Q2",35.0214299125666,
"AUS","HOUSECOST","REAL","IDX2015","Q","1974-Q3",33.8043951552571,
"AUS","HOUSECOST","REAL","IDX2015","Q","1974-Q4",32.8531779988975,
"AUS","HOUSECOST","REAL","IDX2015","Q","1975-Q1",32.5592415615641,
"AUS","HOUSECOST","REAL","IDX2015","Q","1975-Q2",32.6367089647237,
"AUS","HOUSECOST","REAL","IDX2015","Q","1975-Q3",32.651469358288,
"AUS","HOUSECOST","REAL","IDX2015","Q","1975-Q4",31.8487431229294,
"AUS","HOUSECOST","REAL","IDX2015","Q","1976-Q1",31.9911335992587,
"AUS","HOUSECOST","REAL","IDX2015","Q","1976-Q2",31.845811910487,
"AUS","HOUSECOST","REAL","IDX2015","Q","1976-Q3",31.4636971438974,
"AUS","HOUSECOST","REAL","IDX2015","Q","1976-Q4",31.4914828517951,
"AUS","HOUSECOST","REAL","IDX2015","Q","1977-Q1",31.3804088333519,
"AUS","HOUSECOST","REAL","IDX2015","Q","1977-Q2",31.1773081691984,
"AUS","HOUSECOST","REAL","IDX2015","Q","1977-Q3",30.9435704172462,
"AUS","HOUSECOST","REAL","IDX2015","Q","1977-Q4",30.8615215253329,
"AUS","HOUSECOST","REAL","IDX2015","Q","1978-Q1",31.0984302085475,
"AUS","HOUSECOST","REAL","IDX2015","Q","1978-Q2",30.0585067408713,
"AUS","HOUSECOST","REAL","IDX2015","Q","1978-Q3",29.9584904822219,
"AUS","HOUSECOST","REAL","IDX2015","Q","1978-Q4",29.475845588143,
"AUS","HOUSECOST","REAL","IDX2015","Q","1979-Q1",30.2590783921959,
"AUS","HOUSECOST","REAL","IDX2015","Q","1979-Q2",31.192916832294,
"AUS","HOUSECOST","REAL","IDX2015","Q","1979-Q3",31.5001419993321,
"AUS","HOUSECOST","REAL","IDX2015","Q","1979-Q4",31.5489326560348,
"AUS","HOUSECOST","REAL","IDX2015","Q","1980-Q1",30.9657481973704,
"AUS","HOUSECOST","REAL","IDX2015","Q","1980-Q2",31.4927767822382,
"AUS","HOUSECOST","REAL","IDX2015","Q","1980-Q3",32.2787118521848,
"AUS","HOUSECOST","REAL","IDX2015","Q","1980-Q4",32.8205345117532,
"AUS","HOUSECOST","REAL","IDX2015","Q","1981-Q1",33.7860425185906,
"AUS","HOUSECOST","REAL","IDX2015","Q","1981-Q2",33.7788614629382,
"AUS","HOUSECOST","REAL","IDX2015","Q","1981-Q3",33.0269484524144,
"AUS","HOUSECOST","REAL","IDX2015","Q","1981-Q4",33.8492089005053,
"AUS","HOUSECOST","REAL","IDX2015","Q","1982-Q1",32.4166828121368,
"AUS","HOUSECOST","REAL","IDX2015","Q","1982-Q2",32.2363269038125,
"AUS","HOUSECOST","REAL","IDX2015","Q","1982-Q3",31.2015780170818,
"AUS","HOUSECOST","REAL","IDX2015","Q","1982-Q4",30.3796704562391,
"AUS","HOUSECOST","REAL","IDX2015","Q","1983-Q1",30.2088708936016,
"AUS","HOUSECOST","REAL","IDX2015","Q","1983-Q2",30.4405995024377,
"AUS","HOUSECOST","REAL","IDX2015","Q","1983-Q3",30.3641839488685,
"AUS","HOUSECOST","REAL","IDX2015","Q","1983-Q4",31.0701325568869,
"AUS","HOUSECOST","REAL","IDX2015","Q","1984-Q1",31.3049527488258,
"AUS","HOUSECOST","REAL","IDX2015","Q","1984-Q2",31.5108318489529,
"AUS","HOUSECOST","REAL","IDX2015","Q","1984-Q3",32.849431212407,
"AUS","HOUSECOST","REAL","IDX2015","Q","1984-Q4",32.3164591003984,
